function,lines,gateway_verify_jwt,uses_shared_handler,declared_auth_level,function_level_jwt_validation,permission_enforcement,tenant_validation,webhook_signature_verification,service_role_use,wildcard_cors,possible_credential_logging,repo_reachability,effective_access_class,note
catalog-templates-m2m,102,true(default),True,public,False,False,False,False,False,True,False,no_in_repo_caller,intentionally_public,"authLevel=""public""; anon client, optional user"
chat-with-twin,101,true(default),False,none,False,False,False,False,False,True,False,active_internal,unknown,"no in-code authentication; effective protection depends on the platform gateway verify_jwt default, which cannot be established statically and requires a runtime probe"
classify-content,184,true(default),True,public,False,False,False,False,False,True,False,no_in_repo_caller,intentionally_public,"authLevel=""public""; anon client, optional user"
classify-intent,142,true(default),False,none,False,False,False,False,False,True,False,no_in_repo_caller,unknown,"no in-code authentication; effective protection depends on the platform gateway verify_jwt default, which cannot be established statically and requires a runtime probe"
copilot-chat,188,true(default),True,public,False,False,False,False,False,True,False,no_in_repo_caller,intentionally_public,"authLevel=""public""; anon client, optional user"
copilot-chat-simple,131,true(default),False,none,False,False,False,False,False,True,False,active_internal,unknown,"no in-code authentication; effective protection depends on the platform gateway verify_jwt default, which cannot be established statically and requires a runtime probe"
copilot-health,211,true(default),False,none,False,False,False,False,False,True,False,active_internal,unknown,"no in-code authentication; effective protection depends on the platform gateway verify_jwt default, which cannot be established statically and requires a runtime probe"
copilot-router,199,true(default),False,none,True,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
copilot-search,719,true(default),False,none,True,False,False,False,False,True,True,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
copilot-stream,1114,true(default),False,none,True,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
dc-create-twin-from-recommendation,180,true(default),False,none,True,False,False,False,True,True,False,no_in_repo_caller,unprotected_reachable,caller identity established but the privileged path uses the service-role key with no role or tenant predicate; RLS is bypassed
dc-scan-url,370,true(default),False,none,True,False,False,False,True,True,False,active_internal,unprotected_reachable,caller identity established but the privileged path uses the service-role key with no role or tenant predicate; RLS is bypassed
deterministic-recommendations,297,true(default),False,none,False,False,False,False,False,True,False,no_in_repo_caller,unknown,"no in-code authentication; effective protection depends on the platform gateway verify_jwt default, which cannot be established statically and requires a runtime probe"
digital-twin-create,77,true(default),False,user,False,False,False,False,False,False,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
digital-twin-delete,59,true(default),False,user,False,False,False,False,False,False,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
digital-twin-event,222,true(default),False,none,True,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
digital-twin-get,60,true(default),False,user,False,False,False,False,False,False,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
digital-twin-list,73,true(default),False,user,False,False,False,False,False,False,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
digital-twin-run-get,194,true(default),False,none,True,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
digital-twin-runs-list,194,true(default),False,none,True,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
digital-twin-runtime,190,true(default),False,none,True,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
digital-twin-update,76,true(default),False,user,False,False,False,False,False,False,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
document-analysis-start,238,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
document-analysis-status,77,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
dsx-ingest,480,false,False,none,True,False,True,False,True,True,False,callback_or_webhook,signed_webhook,"verify_jwt=false by design; in-code gateway-JWT verification (alg pin, sig, iss/aud/sub/exp/iat/skew, connection status, subject allowlist) before any state read"
funding-query,116,true(default),False,none,False,False,False,False,False,True,False,active_internal,unknown,"no in-code authentication; effective protection depends on the platform gateway verify_jwt default, which cannot be established statically and requires a runtime probe"
funding-scraper,400,true(default),False,none,False,False,False,False,True,True,False,active_internal,unprotected_reachable,no in-code authentication AND service-role client; RLS bypassed; only the platform gateway JWT is a control and its default was not statically provable
generate-ai-recommendations,39,true(default),False,none,False,False,False,False,False,True,False,no_in_repo_caller,unknown,"no in-code authentication; effective protection depends on the platform gateway verify_jwt default, which cannot be established statically and requires a runtime probe"
generate-ctas,237,true(default),False,none,False,False,False,False,False,True,False,no_in_repo_caller,unknown,"no in-code authentication; effective protection depends on the platform gateway verify_jwt default, which cannot be established statically and requires a runtime probe"
green-dc-recommend,49,true(default),False,none,False,False,False,False,False,True,False,active_internal,unknown,"no in-code authentication; effective protection depends on the platform gateway verify_jwt default, which cannot be established statically and requires a runtime probe"
grounded-summary,173,true(default),False,none,False,False,False,False,True,True,True,no_in_repo_caller,unprotected_reachable,no in-code authentication AND service-role client; RLS bypassed; only the platform gateway JWT is a control and its default was not statically provable
health,103,true(default),True,public,False,False,False,False,False,True,False,active_internal,intentionally_public,"authLevel=""public""; anon client, optional user"
health-ai,77,true(default),False,none,False,False,False,False,False,True,True,no_in_repo_caller,unknown,"no in-code authentication; effective protection depends on the platform gateway verify_jwt default, which cannot be established statically and requires a runtime probe"
health-check,42,true(default),True,public,False,False,False,False,False,True,False,no_in_repo_caller,intentionally_public,"authLevel=""public""; anon client, optional user"
ingest-file,100,true(default),False,none,True,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
integrations-connect,214,true(default),False,none,True,True,False,False,False,True,False,active_internal,authenticated_and_authorized,caller identity established and a role or tenant predicate is applied
integrations-disconnect,133,true(default),False,none,True,True,False,False,False,True,False,active_internal,authenticated_and_authorized,caller identity established and a role or tenant predicate is applied
integrations-list,69,true(default),True,user,False,True,False,False,False,True,False,active_internal,authenticated_and_authorized,caller identity established and a role or tenant predicate is applied
integrations-test,284,true(default),False,none,True,True,False,False,False,True,False,active_internal,authenticated_and_authorized,caller identity established and a role or tenant predicate is applied
integrations-zapier,177,true(default),False,none,True,False,False,False,True,True,False,active_internal,unprotected_reachable,caller identity established but the privileged path uses the service-role key with no role or tenant predicate; RLS is bypassed
knowledge-index,77,true(default),True,public,False,False,False,False,False,True,False,active_internal,intentionally_public,"authLevel=""public""; anon client, optional user"
knowledge-upload,102,true(default),True,user,False,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
knowledge-url,128,true(default),True,user,False,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
langgraph-log-run,70,true(default),False,none,True,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
langgraph-run,204,true(default),False,none,True,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
langgraph-search-docs,71,true(default),False,none,True,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
langgraph-upsert-doc,63,true(default),True,user,False,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
langgraph-upsert-memory,65,true(default),True,user,False,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
manual-recommendations,448,true(default),False,none,False,False,False,False,False,True,False,active_internal,unknown,"no in-code authentication; effective protection depends on the platform gateway verify_jwt default, which cannot be established statically and requires a runtime probe"
mcp-allowlist,113,true(default),True,user,False,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
mcp-connect,101,true(default),True,user,False,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
mcp-delete,104,true(default),True,user,False,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
mcp-register,128,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
mcp-sync,262,true(default),True,user,False,True,False,False,False,True,True,active_internal,authenticated_and_authorized,caller identity established and a role or tenant predicate is applied
mcp-test-tool,157,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
mcp-validate,91,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
mcp-verify,132,true(default),True,user,False,False,False,False,False,True,False,callback_or_webhook,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
metrics-summary,68,true(default),False,none,False,False,False,False,True,True,False,no_in_repo_caller,unprotected_reachable,no in-code authentication AND service-role client; RLS bypassed; only the platform gateway JWT is a control and its default was not statically provable
migrate-credentials-to-vault,498,true(default),False,none,True,True,False,False,True,True,True,no_in_repo_caller,authenticated_and_authorized,caller identity established and a role or tenant predicate is applied
models-test,205,true(default),False,none,True,True,False,False,False,True,False,active_internal,authenticated_and_authorized,caller identity established and a role or tenant predicate is applied
ops-environments,106,true(default),False,none,False,False,False,False,True,True,False,no_in_repo_caller,unprotected_reachable,no in-code authentication AND service-role client; RLS bypassed; only the platform gateway JWT is a control and its default was not statically provable
ops-events,110,true(default),False,none,False,False,False,False,True,True,False,no_in_repo_caller,unprotected_reachable,no in-code authentication AND service-role client; RLS bypassed; only the platform gateway JWT is a control and its default was not statically provable
ops-heartbeat,96,true(default),True,admin,False,False,False,False,False,True,False,no_in_repo_caller,unprotected_reachable,"shared handler authLevel=""admin"" returns a service-role client WITHOUT establishing caller identity (_shared/auth.ts:22-29); only the platform gateway JWT stands between any authenticated caller and full-table reads"
ops-ingest-health,84,true(default),False,none,False,False,False,False,True,True,False,no_in_repo_caller,unprotected_reachable,no in-code authentication AND service-role client; RLS bypassed; only the platform gateway JWT is a control and its default was not statically provable
ops-overview,122,true(default),True,admin,False,False,False,False,False,True,False,active_internal,unprotected_reachable,"shared handler authLevel=""admin"" returns a service-role client WITHOUT establishing caller identity (_shared/auth.ts:22-29); only the platform gateway JWT stands between any authenticated caller and full-table reads"
ops-systems,153,true(default),True,admin,False,False,False,False,False,True,False,active_internal,unprotected_reachable,"shared handler authLevel=""admin"" returns a service-role client WITHOUT establishing caller identity (_shared/auth.ts:22-29); only the platform gateway JWT stands between any authenticated caller and full-table reads"
policy-evaluate,222,true(default),True,user,False,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
policy-validate,127,true(default),True,user,False,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
query-answer,195,true(default),False,none,False,False,False,False,True,True,False,no_in_repo_caller,unprotected_reachable,no in-code authentication AND service-role client; RLS bypassed; only the platform gateway JWT is a control and its default was not statically provable
rag-db-connect,104,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
rag-items,102,true(default),True,user,False,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
rag-oauth-google,136,true(default),False,none,True,False,False,False,True,True,False,active_internal,unprotected_reachable,caller identity established but the privileged path uses the service-role key with no role or tenant predicate; RLS is bypassed
rag-oauth-microsoft,130,true(default),False,none,True,False,False,False,True,True,False,active_internal,unprotected_reachable,caller identity established but the privileged path uses the service-role key with no role or tenant predicate; RLS is bypassed
rag-s3-connect,97,true(default),False,none,True,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
rag-test,79,true(default),False,none,True,False,False,False,True,True,False,active_internal,unprotected_reachable,caller identity established but the privileged path uses the service-role key with no role or tenant predicate; RLS is bypassed
rag-upload,67,true(default),False,none,True,False,False,False,True,True,False,active_internal,unprotected_reachable,caller identity established but the privileged path uses the service-role key with no role or tenant predicate; RLS is bypassed
rag-urls,117,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
reco-selftest,218,true(default),False,none,False,False,False,False,True,True,False,active_internal,unprotected_reachable,no in-code authentication AND service-role client; RLS bypassed; only the platform gateway JWT is a control and its default was not statically provable
recommendations-generate,269,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
recommendations-generate-stream,238,true(default),False,none,True,False,False,False,True,True,False,active_internal,unprotected_reachable,caller identity established but the privileged path uses the service-role key with no role or tenant predicate; RLS is bypassed
runs-recent,53,true(default),True,public,False,False,False,False,False,True,False,no_in_repo_caller,intentionally_public,"authLevel=""public""; anon client, optional user"
search,175,true(default),True,public,False,False,False,False,False,True,False,active_internal,intentionally_public,"authLevel=""public""; anon client, optional user"
search-suggestions,216,true(default),False,none,True,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
systems-create,90,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
systems-create-from-template,101,true(default),True,user,False,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
systems-delete,154,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
systems-update,148,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
teams-invite,88,true(default),False,none,True,False,False,False,True,True,False,active_internal,unprotected_reachable,caller identity established but the privileged path uses the service-role key with no role or tenant predicate; RLS is bypassed
template-preview-chat,114,true(default),False,none,False,False,False,False,False,True,False,no_in_repo_caller,unknown,"no in-code authentication; effective protection depends on the platform gateway verify_jwt default, which cannot be established statically and requires a runtime probe"
template-test-run,151,true(default),False,none,False,False,False,False,False,True,False,no_in_repo_caller,unknown,"no in-code authentication; effective protection depends on the platform gateway verify_jwt default, which cannot be established statically and requires a runtime probe"
template-validate,124,true(default),False,none,False,False,False,False,False,True,False,no_in_repo_caller,unknown,"no in-code authentication; effective protection depends on the platform gateway verify_jwt default, which cannot be established statically and requires a runtime probe"
templates-list,44,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
templates-seed,220,true(default),False,none,False,False,False,False,True,True,False,no_in_repo_caller,unprotected_reachable,no in-code authentication AND service-role client; RLS bypassed; only the platform gateway JWT is a control and its default was not statically provable
url-capture,861,true(default),False,none,False,False,False,False,True,True,True,active_internal,unprotected_reachable,no in-code authentication AND service-role client; RLS bypassed; only the platform gateway JWT is a control and its default was not statically provable
url-crawl,210,true(default),True,public,False,False,False,False,False,True,False,active_internal,intentionally_public,"authLevel=""public""; anon client, optional user"
url-recommendations,1758,true(default),False,none,False,False,False,False,True,True,False,active_internal,unprotected_reachable,no in-code authentication AND service-role client; RLS bypassed; only the platform gateway JWT is a control and its default was not statically provable
url-turbo-capture,1264,true(default),False,none,False,False,False,False,True,True,False,active_internal,unprotected_reachable,no in-code authentication AND service-role client; RLS bypassed; only the platform gateway JWT is a control and its default was not statically provable
website-cache-clear,70,true(default),False,none,False,False,False,False,True,True,False,active_internal,unprotected_reachable,no in-code authentication AND service-role client; RLS bypassed; only the platform gateway JWT is a control and its default was not statically provable
website-cache-status,96,true(default),True,public,False,False,False,False,False,True,False,active_internal,intentionally_public,"authLevel=""public""; anon client, optional user"
website-scan,245,true(default),True,public,False,False,False,False,False,True,False,active_internal,intentionally_public,"authLevel=""public""; anon client, optional user"
workflow-ai-suggestions,151,true(default),False,none,False,False,False,False,False,True,False,active_internal,unknown,"no in-code authentication; effective protection depends on the platform gateway verify_jwt default, which cannot be established statically and requires a runtime probe"
workflow-run,433,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
workflow-save,174,true(default),False,none,True,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
workflow-simulate,170,true(default),False,none,True,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
zapier-action-execute,183,true(default),False,none,False,False,False,False,True,True,True,no_in_repo_caller,unprotected_reachable,no in-code authentication AND service-role client; RLS bypassed; only the platform gateway JWT is a control and its default was not statically provable
zapier-app-connect,87,true(default),False,none,True,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
zapier-app-disconnect,95,true(default),False,none,True,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
zapier-apps-detail,127,true(default),False,none,True,False,False,False,False,True,False,callback_or_webhook,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
zapier-apps-list,142,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
zapier-apps-sync,276,true(default),False,none,False,False,False,False,True,True,False,active_internal,unprotected_reachable,no in-code authentication AND service-role client; RLS bypassed; only the platform gateway JWT is a control and its default was not statically provable
zapier-auto-refresh,164,true(default),False,none,False,False,False,False,True,True,True,active_internal,unprotected_reachable,no in-code authentication AND service-role client; RLS bypassed; only the platform gateway JWT is a control and its default was not statically provable
zapier-connect,122,true(default),True,user,False,False,False,False,False,True,False,callback_or_webhook,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
zapier-disconnect,81,true(default),False,none,True,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
zapier-integration-status,114,true(default),False,none,True,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
zapier-oauth-callback,200,true(default),False,none,False,False,False,False,True,True,True,active_internal,unprotected_reachable,no in-code authentication AND service-role client; RLS bypassed; only the platform gateway JWT is a control and its default was not statically provable
zapier-oauth-connect,93,true(default),False,none,True,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
zapier-oauth-start,110,true(default),False,none,True,False,False,False,True,True,False,active_internal,unprotected_reachable,caller identity established but the privileged path uses the service-role key with no role or tenant predicate; RLS is bypassed
zapier-refresh-token,210,true(default),False,none,True,False,False,False,False,True,True,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
zapier-status,100,true(default),False,none,True,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
zapier-test,89,true(default),True,user,False,False,False,False,False,True,False,callback_or_webhook,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
zapier-test-connection,78,true(default),False,none,True,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
zapier-webhook,123,true(default),True,admin,False,False,False,True,False,True,False,active_internal,unprotected_reachable,"shared handler authLevel=""admin"" returns a service-role client WITHOUT establishing caller identity (_shared/auth.ts:22-29); only the platform gateway JWT stands between any authenticated caller and full-table reads"
zapier-webhook-trigger,114,true(default),False,none,False,False,False,True,True,True,False,callback_or_webhook,unprotected_reachable,no in-code authentication AND service-role client; RLS bypassed; only the platform gateway JWT is a control and its default was not statically provable
