function,classification,frontend_callers,function_to_function,docs_or_scripts_references,declared_in_config_toml,webhook_or_callback_signals,schedule_signals,external_reachability_excluded,proven_orphan,evidence_note
analytics-export,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/phase-1b/eslint-summary.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
analytics-overview,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/phase-1b/eslint-summary.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
analytics-systems,active_internal,src/lib/apiClient.ts,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
analyze-document-with-gemini,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
analyze-file,no_in_repo_caller,none,none,docs/GEMINI_3X_AUDIT_REPORT.md;docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
aoc-environment-promotion,no_in_repo_caller,none,none,docs/aoc/AOC_FINAL_STATUS.md;docs/aoc/RBAC_IMPLEMENTATION_STATUS.md;docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
aoc-runtime-action,active_internal,src/components/aoc/AOCEnvironmentPipeline.tsx;src/hooks/useRuntimeControl.ts,none,docs/aoc/RBAC_MANUAL_TEST_CHECKLIST.md;docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv,no,no,no,no,no,in-repo caller or protocol signal present
aoc-runtime-control,no_in_repo_caller,none,none,docs/aoc/ADMIN_GUIDE.md;docs/aoc/AOC_FINAL_STATUS.md;docs/aoc/DEVELOPER_GUIDE.md,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
aoc-simulate-test,active_internal,src/components/aoc/AOCSimulationSandbox.tsx,none,docs/aoc/ADMIN_GUIDE.md;docs/aoc/DEVELOPER_GUIDE.md;docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json,no,no,no,no,no,in-repo caller or protocol signal present
arcade-servers,active_internal,src/components/builder/MCPMarketplace.tsx;src/components/builder/UnifiedMarketplace.tsx;src/lib/apiClient.ts,none,docs/audit/full_report.md;docs/remediation/evidence/phase-1b/eslint-summary.txt;docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json,no,yes,no,no,no,in-repo caller or protocol signal present
builder-generate-summary,active_internal,src/components/builder/SystemSummaryCard.tsx,none,docs/GEMINI_3X_AUDIT_REPORT.md;docs/remediation/evidence/phase-1b/eslint-summary.txt;docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json,no,no,no,no,no,in-repo caller or protocol signal present
builder-infer-goal,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
builder-test,active_internal,src/components/builder/TestQueryPanel.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/checkpoint-b7/route-classification.tsv,no,no,no,no,no,in-repo caller or protocol signal present
builders-create,active_internal,src/services/builderService.ts,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/checkpoint-b7/route-classification.tsv,no,no,no,no,no,in-repo caller or protocol signal present
builders-deploy,active_internal,src/services/builderService.ts,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/checkpoint-b7/route-classification.tsv,no,no,no,no,no,in-repo caller or protocol signal present
builders-get,active_internal,src/services/builderService.ts,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
builders-update,active_internal,src/services/builderService.ts,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
catalog-mcp,active_internal,src/stores/catalogStore.ts,none,docs/audit/full_report.md;docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
catalog-templates-industry,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
catalog-templates-m2m,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
chat-with-twin,active_internal,src/components/marketplace/GeminiChatInterface.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
classify-content,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
classify-intent,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
copilot-chat,no_in_repo_caller,none,none,docs/audit/full_report.md;docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/checkpoint-b7/b7.4c-summary.md,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
copilot-chat-simple,active_internal,src/components/CoPilotVoice.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/checkpoint-b7/b7.4c-summary.md;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv,no,no,no,no,no,in-repo caller or protocol signal present
copilot-health,active_internal,src/pages/AISettings.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/checkpoint-b7/b7.4b-summary.md;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv,no,yes,no,no,no,in-repo caller or protocol signal present
copilot-router,active_internal,src/components/copilot/README.md,none,docs/GEMINI_3X_AUDIT_REPORT.md;docs/audit/full_report.md;docs/remediation/evidence/pr-0.1/checkpoint-b7/b7.4b-summary.md,no,no,no,no,no,in-repo caller or protocol signal present
copilot-search,active_internal,src/components/CoPilotDrawer.tsx,none,docs/GEMINI_3X_AUDIT_REPORT.md;docs/remediation/evidence/phase-1b/eslint-summary.txt;docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json,no,no,no,no,no,in-repo caller or protocol signal present
copilot-stream,active_internal,src/lib/copilot/streaming.ts,none,docs/COPILOT_TEST_RESULTS.md;docs/COPILOT_UPGRADE.md;docs/audit/full_report.md,no,no,no,no,no,in-repo caller or protocol signal present
dc-create-twin-from-recommendation,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
dc-scan-url,active_internal,src/components/dc-scan/DCScannerPanel.tsx,none,docs/remediation/capability-traceability.md;docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv,no,no,no,no,no,in-repo caller or protocol signal present
deterministic-recommendations,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
digital-twin-create,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
digital-twin-delete,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
digital-twin-event,active_internal,src/lib/digitalTwin/api.ts,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/phase-1b/eslint-summary.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
digital-twin-get,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
digital-twin-list,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
digital-twin-run-get,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
digital-twin-runs-list,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
digital-twin-runtime,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
digital-twin-update,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
document-analysis-start,active_internal,src/hooks/useDocumentAnalysis.ts,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
document-analysis-status,active_internal,src/hooks/useDocumentAnalysis.ts,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
dsx-ingest,callback_or_webhook,none,none,docs/audit/full_report.md;docs/evidence/full-stack-audit/06-capability-truth-matrix.csv;docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt,yes,yes,no,no,no,in-repo caller or protocol signal present
funding-query,active_internal,src/lib/funding/README.md,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
funding-scraper,active_internal,src/lib/funding/QA_REPORT.md;src/lib/funding/QUICKSTART.md;src/lib/funding/README.md,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/b7.4b-summary.md;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv,no,no,no,no,no,in-repo caller or protocol signal present
generate-ai-recommendations,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
generate-ctas,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
green-dc-recommend,active_internal,src/hooks/useGreenDcRecommendation.ts,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/adr/0008-default-deny-production-boundary.md;docs/remediation/evidence/phase-1b/eslint-summary.txt,yes,no,no,no,no,in-repo caller or protocol signal present
grounded-summary,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
health,active_internal,src/components/HealthBadges.tsx;src/components/HealthCheck.tsx;src/components/blueprint/AgentHealthPanel.tsx,supabase/functions/dc-scan-url/index.ts;supabase/functions/health-check/index.ts,.github/workflows/test.yml;docs/AURA-DC-Implementation-Plan.md;docs/OMNIVERSE_KIT_ENV.md,no,yes,no,no,no,in-repo caller or protocol signal present
health-ai,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
health-check,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
ingest-file,active_internal,src/components/search/EnhancedSearchBar.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
integrations-connect,active_internal,src/components/builder/ModelMarketplace.tsx;src/pages/Integrations.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,yes,no,no,no,in-repo caller or protocol signal present
integrations-disconnect,active_internal,src/pages/Integrations.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
integrations-list,active_internal,src/pages/Integrations.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
integrations-test,active_internal,src/pages/Integrations.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
integrations-zapier,active_internal,src/lib/apiClient.ts,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,yes,no,no,no,in-repo caller or protocol signal present
knowledge-index,active_internal,src/components/search/InsightActionPanel.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/checkpoint-b7/b7.4b-summary.md;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv,no,no,no,no,no,in-repo caller or protocol signal present
knowledge-upload,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
knowledge-url,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
langgraph-log-run,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
langgraph-run,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
langgraph-search-docs,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
langgraph-upsert-doc,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
langgraph-upsert-memory,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
manual-recommendations,active_internal,src/hooks/useRecommendations.ts,none,docs/remediation/evidence/phase-1b/eslint-summary.txt;docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv,no,no,no,no,no,in-repo caller or protocol signal present
mcp-allowlist,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
mcp-connect,no_in_repo_caller,none,none,docs/audit/full_report.md;docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
mcp-delete,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
mcp-register,active_internal,src/components/builder/MCPMarketplace.tsx;src/components/builder/MCPServerManager.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
mcp-sync,active_internal,none,supabase/functions/catalog-mcp/index.ts,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,yes,no,no,in-repo caller or protocol signal present
mcp-test-tool,active_internal,src/components/agent-chat/AgentMCPServers.tsx;src/components/builder/MCPServerManager.tsx;src/components/builder/MCPToolsPlayground.tsx,none,docs/audit/full_report.md;docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv,no,no,no,no,no,in-repo caller or protocol signal present
mcp-validate,active_internal,src/components/builder/MCPServerManager.tsx;src/components/builder/UnifiedMarketplace.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
mcp-verify,callback_or_webhook,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,yes,no,no,no,in-repo caller or protocol signal present
metrics-summary,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
migrate-credentials-to-vault,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
models-test,active_internal,src/components/builder/ModelMarketplace.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/checkpoint-b7/route-classification.tsv,no,no,no,no,no,in-repo caller or protocol signal present
ops-environments,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
ops-events,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
ops-heartbeat,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
ops-ingest-health,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/dsx-read-only-foundation/00-audit.md;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
ops-overview,active_internal,src/pages/IntelligenceDashboard.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/phase-1b/eslint-summary.txt;docs/remediation/evidence/pr-0.1/checkpoint-b7/approved-user-pilot-routes.tsv,no,no,no,no,no,in-repo caller or protocol signal present
ops-systems,active_internal,src/pages/IntelligenceDashboard.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/phase-1b/eslint-summary.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
