component,official_product_name,claimed_role,repository_evidence,configuration_evidence,dependency_evidence,runtime_evidence,hardware_dependency,data_source,mock_or_live,version,license_or_entitlement,deployment_target,observability,tests,security_boundary,blocking_dependency,implementation_status,readiness_verdict,confidence
NVIDIA DeepStream,NVIDIA DeepStream,none,0 matches,none,none,none,none,none,none,n/a,n/a,none,none,none,n/a,n/a,not_applicable (no video analytics scope),not_implemented,high
NVIDIA Metropolis,NVIDIA Metropolis,none,0 matches,none,none,none,none,none,none,n/a,n/a,none,none,none,n/a,n/a,not_applicable,not_implemented,high
NVIDIA TensorRT,NVIDIA TensorRT,none,0 matches,none,none,none,none,none,none,n/a,n/a,none,none,none,n/a,n/a,not_applicable,not_implemented,high
NVIDIA TAO Toolkit,NVIDIA TAO Toolkit,none,0 word-boundary matches,none,none,none,none,none,none,n/a,n/a,none,none,none,n/a,n/a,not_applicable,not_implemented,high
NVIDIA Triton Inference Server,NVIDIA Triton Inference Server,none,0 matches,none,none,none,none,none,none,n/a,n/a,none,none,none,n/a,n/a,not_applicable,not_implemented,high
NVIDIA CUDA,NVIDIA CUDA,none,1 incidental doc mention,none,none,none,none,none,none,n/a,n/a,none,none,none,n/a,n/a,not_applicable (browser app),not_implemented,high
NVIDIA Jetson,NVIDIA Jetson,Prohibited brand name in UI copy,brand policy forbids naming; 0 code matches,none,none,none,none,none,none,n/a,n/a,none,none,none,n/a,n/a,not_applicable,not_implemented,high
NVIDIA IGX,NVIDIA IGX,none,0 matches,none,none,none,none,none,none,n/a,n/a,none,none,none,n/a,n/a,not_applicable,not_implemented,high
NVIDIA DGX,NVIDIA DGX / DGX SuperPOD,Referenced as a design reference band in UI copy,src/pages/IntelligenceDashboard.tsx:393/562/634; src/components/dc-ui/DCFacilityMap.tsx:44,none,none,none,DGX hardware (absent),UI label text,UI-only representation,n/a,n/a,none,none,none,n/a,No DGX hardware in scope,UI-only representation,not_implemented,high
NVIDIA AI Enterprise,NVIDIA AI Enterprise,none,0 matches,none,none,none,none,none,none,n/a,no entitlement held,none,none,none,n/a,n/a,not_applicable,not_implemented,high
NVIDIA Base Command,NVIDIA Base Command,none,1 incidental doc mention,none,none,none,none,none,none,n/a,n/a,none,none,none,n/a,n/a,not_applicable,not_implemented,high
NVIDIA Fleet Command,NVIDIA Fleet Command,none,0 matches,none,none,none,none,none,none,n/a,n/a,none,none,none,n/a,n/a,not_applicable,not_implemented,high
NVIDIA ConnectX / Spectrum-X,NVIDIA ConnectX / Spectrum-X,none,0 matches,none,none,none,none,none,none,n/a,n/a,none,none,none,n/a,n/a,not_applicable (fabric workspace is fixture-derived),not_implemented,high
MQTT transport (substitute),Eclipse Mosquitto / MQTT 5,Stand-in for a DSX Exchange broker,src/dsx/exchange/mqttTransport.ts; infra/dsx-exchange/docker-compose.yml,listener bound to 127.0.0.1:1883; allow_anonymous true,mqtt ^5.15.2 in package.json,scripts/dsx-exchange-local-harness.mjs exits 2 when no broker,none,operator-published fixtures,mock,mqtt 5.15.2,open source,localhost only,none,exchangeViewerSimready.test.ts,assessEndpoint refuses non-local hosts before socket open,No NVIDIA-published DSX Exchange protocol spec,API-compatible substitute,demo_ready,high
