table,policy,command,roles,permissive_or_restrictive,USING,explicit_WITH_CHECK,effective_WITH_CHECK,effective_source,other_applicable_policies,ownership_columns,constrains_ownership,client_reachable,static_bypass_proven,runtime_test_required
integrations,Executives can update integrations,UPDATE,authenticated,PERMISSIVE,"has_role(auth.uid(), 'executive'::app_role)","has_role(auth.uid(), 'executive'::app_role)","has_role(auth.uid(), 'executive'::app_role)",explicit,Users can manage their own integrations:ALL,created_by;org_id;user_id,yes,yes,no,yes
integrations_connections,Users can update their own connections,UPDATE,public,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,none,org_id;user_id,yes,yes,no,yes
integrations_tokens,Users can update their own integration tokens,UPDATE,public,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,none,user_id,yes,yes,no,yes
intelligence_settings,Users can update their own intelligence settings,UPDATE,public,PERMISSIVE,(system_id IN ( SELECT agents.id    FROM agents   WHERE (agents.owner_id = auth.uid()))),,(system_id IN ( SELECT agents.id    FROM agents   WHERE (agents.owner_id = auth.uid()))),inherited_from_USING,none,none,yes,yes,no,yes
knowledge_sources,Users can update their own knowledge sources,UPDATE,public,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,none,user_id,yes,yes,no,yes
mcp_credentials,Users can manage their own MCP credentials,ALL,public,PERMISSIVE,(auth.uid() = user_id),(auth.uid() = user_id),(auth.uid() = user_id),explicit,none,user_id,yes,yes,no,yes
mcp_tokens,Users can update their own MCP tokens,UPDATE,public,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,none,user_id,yes,yes,no,yes
oauth_states,Service role can manage oauth states,ALL,service_role,PERMISSIVE,true,true,true,explicit,none,user_id,no,no,no,no
policies,Users can update policies for their systems,UPDATE,public,PERMISSIVE,(system_id IN ( SELECT agents.id    FROM agents   WHERE (agents.owner_id = auth.uid()))),,(system_id IN ( SELECT agents.id    FROM agents   WHERE (agents.owner_id = auth.uid()))),inherited_from_USING,none,created_by,yes,yes,no,yes
profiles,Admins can update any profile,UPDATE,authenticated,PERMISSIVE,"has_role(auth.uid(), 'admin'::app_role)","has_role(auth.uid(), 'admin'::app_role)","has_role(auth.uid(), 'admin'::app_role)",explicit,Users can update their own profile:UPDATE,org_id;user_id,yes,yes,no,yes
profiles,Users can update their own profile,UPDATE,authenticated,PERMISSIVE,(( SELECT auth.uid() AS uid) = user_id),(( SELECT auth.uid() AS uid) = user_id),(( SELECT auth.uid() AS uid) = user_id),explicit,Admins can update any profile:UPDATE,org_id;user_id,yes,yes,no,yes
rag_chunks,Service role can manage chunks,ALL,public,PERMISSIVE,(auth.role() = 'service_role'::text),,(auth.role() = 'service_role'::text),inherited_from_USING,none,none,no,yes,no,yes
rag_documents,Users can manage their own documents,ALL,public,PERMISSIVE,(auth.uid() = user_id),(auth.uid() = user_id),(auth.uid() = user_id),explicit,none,user_id,yes,yes,no,yes
rag_items,Users can update their own RAG items,UPDATE,public,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,none,user_id,yes,yes,no,yes
rag_tokens,Users can manage their own RAG tokens,ALL,public,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,none,user_id,yes,yes,no,yes
recommendations,Service role can manage recommendations,ALL,public,PERMISSIVE,(auth.role() = 'service_role'::text),,(auth.role() = 'service_role'::text),inherited_from_USING,none,none,no,yes,no,yes
roi_assumptions,Users can update their own ROI assumptions,UPDATE,public,PERMISSIVE,(auth.uid() IN ( SELECT workflows.created_by    FROM workflows   WHERE (workflows.system_id = roi_assumptions.system_id))),,(auth.uid() IN ( SELECT workflows.created_by    FROM workflows   WHERE (workflows.system_id = roi_assumptions.system_id))),inherited_from_USING,none,none,yes,yes,no,yes
scraper_logs,Service role can manage scraper logs,ALL,public,PERMISSIVE,(auth.role() = 'service_role'::text),,(auth.role() = 'service_role'::text),inherited_from_USING,none,none,no,yes,no,yes
search_analytics,Service role can manage analytics,ALL,public,PERMISSIVE,(auth.role() = 'service_role'::text),,(auth.role() = 'service_role'::text),inherited_from_USING,none,none,no,yes,no,yes
simulation_runs,Users can update their own simulation runs,UPDATE,public,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,none,user_id,yes,yes,no,yes
site_crawls,Service role can manage site crawls,ALL,public,PERMISSIVE,(auth.role() = 'service_role'::text),,(auth.role() = 'service_role'::text),inherited_from_USING,none,none,no,yes,no,yes
site_pages,Service role can manage site pages,ALL,public,PERMISSIVE,(auth.role() = 'service_role'::text),,(auth.role() = 'service_role'::text),inherited_from_USING,none,none,no,yes,no,yes
sites,Service role can manage sites,ALL,public,PERMISSIVE,(auth.role() = 'service_role'::text),,(auth.role() = 'service_role'::text),inherited_from_USING,none,none,no,yes,no,yes
sovereign_dc_facilities,Users can update their own facilities,UPDATE,public,PERMISSIVE,(auth.uid() = owner_id),,(auth.uid() = owner_id),inherited_from_USING,none,owner_id,yes,yes,no,yes
sovereign_dc_simulation_runs,Users can update their simulation runs,UPDATE,public,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,none,user_id,yes,yes,no,yes
system_builder_state,Users can update their own builder state,UPDATE,public,PERMISSIVE,(system_id IN ( SELECT agents.id    FROM agents   WHERE (agents.owner_id = auth.uid()))),,(system_id IN ( SELECT agents.id    FROM agents   WHERE (agents.owner_id = auth.uid()))),inherited_from_USING,builder_state_update_own:UPDATE,none,yes,yes,no,yes
system_builder_state,builder_state_update_own,UPDATE,authenticated,PERMISSIVE,(EXISTS ( SELECT 1    FROM agents   WHERE ((agents.id = system_builder_state.system_id) AND (agents.owner_id = auth.uid())))),(EXISTS ( SELECT 1    FROM agents   WHERE ((agents.id = system_builder_state.system_id) AND (agents.owner_id = auth.uid())))),(EXISTS ( SELECT 1    FROM agents   WHERE ((agents.id = system_builder_state.system_id) AND (agents.owner_id = auth.uid())))),explicit,Users can update their own builder state:UPDATE,none,yes,yes,no,yes
system_integrations,Users can update system integrations,UPDATE,public,PERMISSIVE,(system_id IN ( SELECT agents.id    FROM agents   WHERE (agents.owner_id = auth.uid()))),,(system_id IN ( SELECT agents.id    FROM agents   WHERE (agents.owner_id = auth.uid()))),inherited_from_USING,none,none,yes,yes,no,yes
team_invites,Users can update their sent invites,UPDATE,authenticated,PERMISSIVE,(invited_by = auth.uid()),,(invited_by = auth.uid()),inherited_from_USING,none,invited_by;org_id,yes,yes,no,yes
twin_agent_bindings,Users can manage bindings for their twins,ALL,public,PERMISSIVE,(twin_id IN ( SELECT digital_twins.id    FROM digital_twins   WHERE (digital_twins.user_id = auth.uid()))),,(twin_id IN ( SELECT digital_twins.id    FROM digital_twins   WHERE (digital_twins.user_id = auth.uid()))),inherited_from_USING,none,none,yes,yes,no,yes
twin_simulation_runs,Users can update simulations for their twins,UPDATE,public,PERMISSIVE,(twin_id IN ( SELECT data_centre_twins.id    FROM data_centre_twins   WHERE (data_centre_twins.created_by_user = auth.uid()))),,(twin_id IN ( SELECT data_centre_twins.id    FROM data_centre_twins   WHERE (data_centre_twins.created_by_user = auth.uid()))),inherited_from_USING,none,created_by,yes,yes,no,yes
user_preferences,Users can update their own preferences,UPDATE,public,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,none,user_id,yes,yes,no,yes
website_content_cache,Service role can manage cache,ALL,public,PERMISSIVE,(auth.role() = 'service_role'::text),,(auth.role() = 'service_role'::text),inherited_from_USING,none,none,no,yes,no,yes
workflow_nodes,Users can update nodes in their workflows,UPDATE,public,PERMISSIVE,(EXISTS ( SELECT 1    FROM workflows   WHERE ((workflows.id = workflow_nodes.workflow_id) AND (workflows.created_by = auth.uid())))),,(EXISTS ( SELECT 1    FROM workflows   WHERE ((workflows.id = workflow_nodes.workflow_id) AND (workflows.created_by = auth.uid())))),inherited_from_USING,none,none,yes,yes,no,yes
workflows,Users can update their own workflows,UPDATE,public,PERMISSIVE,(auth.uid() = created_by),,(auth.uid() = created_by),inherited_from_USING,none,created_by,yes,yes,no,yes
