function	source_file_and_line	owning_route_or_capability	production_reachable	pilot_required	triggering_user_action	current_blocked_behaviour	proposed_disposition	evidence
website-scan	src/components/scanner/WebsiteScanner.tsx:39	scanner	yes (non-pilot)	no	scan	non-2xx error	production-unreachable	non-pilot
workflow-run	src/components/workflow/EnhancedWorkflowEditor.tsx:464	/builder workflow editor	yes (non-pilot)	no	run workflow	non-2xx error	production-unreachable	non-pilot
zapier-app-connect	src/components/integrations/ZapierMarketplace.tsx:155	/marketplace/integrations	yes (non-pilot)	no	connect app	non-2xx error	production-unreachable	non-pilot
zapier-app-disconnect	src/components/integrations/ZapierMarketplace.tsx:180	/marketplace/integrations	yes (non-pilot)	no	disconnect	non-2xx error	production-unreachable	non-pilot
zapier-apps-list	src/components/integrations/ZapierMarketplace.tsx:135	/marketplace/integrations	yes (non-pilot)	no	list apps	non-2xx; empty	production-unreachable	non-pilot
zapier-apps-sync	src/components/integrations/ZapierMarketplace.tsx:101	/marketplace/integrations	yes (non-pilot)	no	sync	non-2xx error	production-unreachable	non-pilot
zapier-auto-refresh	src/hooks/useTokenRefresh.ts:21	background hook mounted in Layout	yes (Layout in MainAppLayout branch)	no	background refresh	silent fail	production-unreachable	non-pilot
zapier-integration-status	src/components/builder/BuilderIntegrationsHub.tsx:41; src/components/integrations/IntegrationStatusBadge.tsx:16	integrations badges	yes (non-pilot)	no	badge poll	non-2xx; red badge	production-unreachable	non-pilot
zapier-oauth-connect	src/components/integrations/ZapierIntegrationCard.tsx:67	integrations card	yes (non-pilot)	no	oauth connect	non-2xx error	production-unreachable	non-pilot
zapier-refresh-token	src/hooks/useTokenRefresh.ts:78	token hook	yes (Layout)	no	background refresh	silent fail	production-unreachable	non-pilot
zapier-test-connection	src/components/integrations/ZapierIntegrationCard.tsx:101	integrations card	yes (non-pilot)	no	test conn	non-2xx error	production-unreachable	non-pilot
---SUMMARY---	distinct functions = 63 (was 49 in B6 invoke-cross-reference.json)	distinct call sites = 92 (was 71 in B6)	drift_delta = +14 functions, +21 sites	NEW-vs-B6: copilot-health, copilot-router (README-only, not a real site), zapier-apps-list, zapier-apps-sync, zapier-app-connect, zapier-app-disconnect, zapier-oauth-connect, zapier-test-connection, knowledge-index, reco-selftest, workflow-run, funding-scraper, ops-overview (path variant), url-capture, url-recommendations (extra sites)	pilot-required-candidates = 0	typed-accessible-unavailable = 3 (health, copilot-health, ops-overview)	production-unreachable = 59	documentation-only = 1 (copilot-router)	See per-row evidence columns above.
