route	classification	source_line	min_role	pilot_capability	production_reachable	functions_invoked	blocked_behaviour	evidence
/connect/health	production-blocked	src/App.tsx:245	approved user	excluded	yes	unknown	non-2xx	excluded
/search	production-blocked	src/App.tsx:246	approved user	excluded (search)	yes	manual-recommendations, reco-selftest, knowledge-index, url-*, website-*	non-2xx	excluded
/universal-search	production-blocked	src/App.tsx:247	approved user	excluded	yes	same	non-2xx	excluded
/settings/ai	production-blocked	src/App.tsx:248	approved user	excluded (Copilot config)	yes	copilot-health, models-test	non-2xx	excluded (browser-side AI)
/auth	redirect-only	src/App.tsx:173,249	both	unauth: Navigate to /onboarding OR SignIn; authed: Navigate to /	yes	none	Navigate	dual mount; both paths are Navigate under B7.4B classification
/sign-in	redirect-only	src/App.tsx:175,250	both	same pattern as /auth	yes	none	Navigate	dual mount
/sign-up	production-blocked	src/App.tsx:176,251	anonymous	SignUp (unauth branch); Navigate (authed)	yes	unknown	non-2xx	classified as production-blocked because unauth branch renders SignUp page which is excluded from pilot (registration workflow not in scope)
/mfa	production-blocked	src/App.tsx:179,254	anonymous	MFA challenge (unauth); Navigate (authed)	yes	unknown	non-2xx	classified as production-blocked; not in pilot workflow list
/playbook	production-blocked	src/App.tsx:255	approved user	excluded	yes	unknown	non-2xx	excluded
/pilot	production-blocked	src/App.tsx:256	approved user	excluded (pilot-request form, unrelated to "controlled pilot")	yes	none direct	non-2xx	src/pages/Pilot.tsx is a lead form, distinct from B7.4B controlled-pilot scope
/data-centre-twin	production-blocked	src/App.tsx:181,258	both	Unauth-branch exposes the Data Centre Twin surface; excluded from pilot	yes	none direct; hooks may transitively pull from providers	non-2xx	excluded
/data-centre-twin/:id	production-blocked	src/App.tsx:259	approved user	excluded	yes	unknown	non-2xx	excluded
/omniverse-scene	production-blocked	src/App.tsx:182,261	both	Excluded (Omniverse)	yes	unknown	non-2xx	explicit Omniverse exclusion
/twin-datacentre	production-blocked	src/App.tsx:180,263	both	DataCentreTwinLanding alias — not required for pilot when / is the canonical landing	yes	none	n/a	dedupe: keep / as the pilot landing, block the alias to reduce surface
/twin-debug	production-blocked	src/App.tsx:265	approved user	excluded (debug)	yes	unknown	non-2xx	excluded
/digital-twins	redirect-only	src/App.tsx:267	approved user	Navigate to /	yes	none	Navigate	pure <Navigate>
/digital-twins/:slug	redirect-only	src/App.tsx:268	approved user	Navigate to /	yes	none	Navigate	pure <Navigate>
/digital-twins-demo/funding-intake	production-blocked	src/App.tsx:269	approved user	excluded	yes	funding-scraper	non-2xx	excluded
/infrastructure	production-blocked	src/App.tsx:270	approved user	excluded	yes	unknown	non-2xx	excluded
/dev-overlays	development-only	src/App.tsx:184,271	n/a	DEV-only; excluded from production bundle	no	n/a	unreachable in prod	Gated by `import.meta.env.DEV && OverlayFixtures`; OverlayFixtures import is behind the same DEV guard so it tree-shakes out of production. Confirmed by real-repo enforcer PASS (which rejects any non-DEV-gated forbidden route).
*	production-blocked	src/App.tsx:185,195,273	n/a	Catch-all: unauth → Navigate to /; not-approved → PendingApproval; authed → NotFound	yes	none	n/a	default catch-all, no functions
